"timestamp (abs)","sample rate (Hz)","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
1163,500,0,0,0,1,1
1169,500,0,0,0,1,0
1170,500,0,0,0,1,1
1178,500,0,0,0,1,0
1180,500,0,0,0,1,1
1188,500,0,0,0,1,0
1190,500,0,0,0,1,1
1194,500,0,0,0,0,1
1195,500,0,0,0,1,1
1199,500,0,0,0,1,0
1200,500,0,0,0,1,1
1203,500,0,0,0,0,1
1204,500,0,0,0,1,1
1210,500,0,0,0,0,1
1211,500,0,0,0,1,1
1219,500,0,0,0,1,0
1220,500,0,0,0,1,1
1225,500,0,0,0,0,1
1227,500,0,0,0,1,1
1234,500,0,0,0,0,1
1235,500,0,0,0,1,1
1241,500,0,0,0,0,1
1243,500,0,0,0,1,1
1257,500,0,0,0,0,1
1258,500,0,0,0,1,1
1259,500,0,0,0,1,0
1260,500,0,0,0,1,1
1269,500,0,0,0,1,0
1270,500,0,0,0,1,1
1273,500,0,0,0,0,1
1274,500,0,0,0,1,1
1279,500,0,0,0,1,0
1280,500,0,0,0,1,1
1282,500,0,0,0,0,1
1283,500,0,0,0,1,1
1289,500,0,0,0,1,0
1290,500,0,0,0,1,1
1296,500,0,0,0,0,1
1297,500,0,0,0,1,1
1299,500,0,0,0,1,0
1300,500,0,0,0,1,1
1304,500,0,0,0,0,1
1306,500,0,0,0,1,1
1309,500,0,0,0,1,0
1310,500,0,0,0,1,1
1313,500,0,0,0,0,1
1314,500,0,0,0,1,1
1319,500,0,0,0,1,0
1320,500,0,0,0,1,1
1327,500,0,0,0,0,1
1329,500,0,0,0,1,1
1336,500,0,0,0,0,1
1337,500,0,0,0,1,1
1339,500,0,0,0,1,0
1340,500,0,0,0,1,1
1350,500,0,0,0,1,0
1351,500,0,0,0,1,1
1352,500,0,0,0,0,1
1353,500,0,0,0,1,1
1359,500,0,0,0,1,0
1361,500,0,0,0,1,1
1366,500,0,0,0,0,1
1367,500,0,0,0,1,1
1370,500,0,0,0,1,0
1371,500,0,0,0,1,1
1375,500,0,0,0,0,1
1376,500,0,0,0,1,1
1379,500,0,0,0,1,0
1381,500,0,0,0,1,1
1383,500,0,0,0,0,1
1385,500,0,0,0,1,1
1389,500,0,0,0,1,0
1391,500,0,0,0,1,1
1392,500,0,0,0,0,1
1393,500,0,0,0,1,1
1400,500,0,0,0,1,0
1401,500,0,0,0,1,1
1406,500,0,0,0,0,1
1408,500,0,0,0,1,1
1410,500,0,0,0,1,0
1411,500,0,0,0,1,1
1415,500,0,0,0,0,1
1416,500,0,0,0,1,1
1419,500,0,0,0,1,0
1421,500,0,0,0,1,1
1429,500,0,0,0,1,0
1431,500,0,0,0,1,1
1438,500,0,0,0,0,1
1439,500,0,0,0,1,1
1440,500,0,0,0,1,0
1441,500,0,0,0,1,1
1454,500,0,0,0,0,1
1455,500,0,0,0,1,1
1460,500,0,0,0,1,0
1461,500,0,0,0,1,1
1462,500,0,0,0,0,1
1464,500,0,0,0,1,1
1470,500,0,0,0,1,0
1471,500,0,0,0,1,1
1476,500,0,0,0,0,1
1477,500,0,0,0,1,1
1485,500,0,0,0,0,1
